Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.8095,0.8835,0.75,0.75,0.75,0.5962,0.5962
1,0.8095,0.8707,0.6667,0.8,0.7273,0.5828,0.5885
2,0.8254,0.8654,0.6667,0.8421,0.7442,0.6144,0.624
3,0.8548,0.9231,0.8261,0.7917,0.8085,0.6917,0.6921
4,0.8548,0.8454,0.7083,0.8947,0.7907,0.6819,0.6928
5,0.871,0.909,0.7917,0.8636,0.8261,0.7238,0.7256
6,0.7742,0.8695,0.5833,0.7778,0.6667,0.5011,0.513
7,0.8226,0.7939,0.625,0.8824,0.7317,0.6049,0.6249
8,0.8548,0.8509,0.75,0.8571,0.8,0.6869,0.6906
9,0.7581,0.8081,0.5833,0.7368,0.6512,0.4698,0.4773
Mean,0.8235,0.8619,0.6951,0.8196,0.7496,0.6153,0.6225
Std,0.0351,0.0381,0.0801,0.053,0.0556,0.0793,0.0774
